Player_Name,Stats_Power_Rank,Week,Stats_Power_Score,R_Rank_Stats,H_Rank_Stats,HR_Rank_Stats,RBI_Rank_Stats,SB_Rank_Stats,OPS_Rank_Stats,HRA_Rank_Stats,ERA_Rank_Stats,WHIP_Rank_Stats,K9_Rank_Stats,QS_Rank_Stats,SVH_Rank_Stats,R_Stats,H_Stats,HR_Stats,RBI_Stats,SB_Stats,OPS_Stats,HRA_Stats,ERA_Stats,WHIP_Stats,K9_Stats,QS_Stats,SVH_Stats,Team_Number
Austin,1,5,3,1,2,1,1,9,3,1,1,1,4,2,10,193,322,63,219,22,0.8184,11,2.654,1.058,10.332,19,19,2
Kevin,2,5,4.83333,1,5,5,10,2,5,9,2,3,6,7,3,193,304,46,145,41,0.8054,27,3.238,1.148,9.74,16,40,10
Taylor,3,5,5.5,6,8,5,6,7,8,3,6,5,1,2,9,175,298,46,160,23,0.771,21,3.608,1.16,10.842,19,21,1
Bryant,4,5,6.083,9,6,4,5,5,7,2,10,7,9,5,4,163,303,48,167,33,0.7756,20,4.072,1.224,9.498,17,35,4
Greg,4,5,6.16667,3,4,2,2,6,2,12,11,8,10,1,12,186,305,62,178,26,0.8558,37,4.084,1.266,9.116,20,12,5
Eric,6,5,6.16667,5,1,9,3,1,1,6,4,11,12,10,11,177,354,41,173,43,0.8942,23,3.528,1.294,8.574,11,13,7
Josh,7,5,6.666666667,11,10,11,10,3,11,3,3,4,3,5,6,156,287,36,145,37,0.7154,21,3.298,1.152,10.352,17,34,6
Jamie,8,5,6.75,10,3,7,9,12,4,3,5,10,7,10,1,162,311,42,147,7,0.8168,21,3.608,1.292,9.644,11,48,9
Kurtis,9,5,7.583333333,4,8,3,4,11,6,10,12,12,5,12,4,178,298,57,168,20,0.7936,31,4.384,1.33,9.974,9,35,3
David,10,5,7.833333333,12,12,10,12,7,12,7,7,2,2,9,2,155,275,39,135,23,0.6934,24,3.616,1.094,10.716,14,41,8
Mikey,11,5,8,7,11,12,7,3,9,11,9,6,11,2,8,170,286,34,157,37,0.7588,34,3.906,1.202,8.956,19,28,11
Cooch,12,5,8.083333333,8,7,7,8,10,10,7,8,9,8,8,7,165,299,42,156,21,0.738,24,3.704,1.282,9.576,15,29,12
